source_cell_type,target_cell_type,total_weight,mean_weight,n_edges
Cancer.Cycling,Cancer.Basal.SC,2573.0,1.0,2573
Cancer.Cycling,Cancer.Cycling,2380.0,1.0,2380
Cancer.Cycling,Cancer.Her2.SC,2259.0,1.0,2259
Cancer.Cycling,Cancer.LumA.SC,1017.0,1.0,1017
Cancer.Cycling,Cancer.LumB.SC,953.0,1.0,953
Cancer.Cycling,Cycling.Myeloid,1342.0,1.0,1342
Cancer.Cycling,Cycling.PVL,939.0,1.0,939
Cancer.Cycling,Cycling.T.cells,1265.0,1.0,1265
Cancer.Cycling,DCs,1360.0,1.0,1360
Cancer.Cycling,Endothelial.ACKR1,1658.0,1.0,1658
Cancer.Cycling,Endothelial.CXCL12,1259.0,1.0,1259
Cancer.Cycling,Endothelial.Lymphatic.LYVE1,1093.0,1.0,1093
Cancer.Cycling,Endothelial.RGS5,1344.0,1.0,1344
Cancer.Cycling,Luminal.Progenitors,1719.0,1.0,1719
Cancer.Cycling,Macrophage,1850.0,1.0,1850
Cancer.Cycling,Mature.Luminal,1722.0,1.0,1722
Cancer.Cycling,Monocyte,1373.0,1.0,1373
Cancer.Cycling,Myoepithelial,1241.0,1.0,1241
Cancer.Cycling,NK.cells,1286.0,1.0,1286
Cancer.Cycling,NKT.cells,935.0,1.0,935
Cancer.Cycling,PVL.Differentiated,1740.0,1.0,1740
Cancer.Cycling,PVL.Immature,1403.0,1.0,1403
Cancer.Cycling,Plasmablasts,1608.0,1.0,1608
Cancer.Cycling,T.cells.CD4,1800.0,1.0,1800
Cancer.Cycling,T.cells.CD8,1246.0,1.0,1246
Cancer.Her2.SC,B.cells.Memory,1083.0,1.0,1083
Cancer.Her2.SC,B.cells.Naive,846.0,1.0,846
Cancer.Her2.SC,CAFs.MSC.iCAF.like,1556.0,1.0,1556
Cancer.Her2.SC,CAFs.myCAF.like,1744.0,1.0,1744
Cancer.Her2.SC,Cancer.Basal.SC,1919.0,1.0,1919
Cancer.Her2.SC,Cancer.Cycling,1814.0,1.0,1814
Cancer.Her2.SC,Cancer.Her2.SC,1665.0,1.0,1665
Cancer.Her2.SC,Cancer.LumA.SC,827.0,1.0,827
Cancer.Her2.SC,Cancer.LumB.SC,794.0,1.0,794
Cancer.Her2.SC,Cycling.Myeloid,1081.0,1.0,1081
Cancer.Her2.SC,Cycling.PVL,844.0,1.0,844
Cancer.Her2.SC,Cycling.T.cells,1105.0,1.0,1105
Cancer.Her2.SC,DCs,1203.0,1.0,1203
Cancer.Her2.SC,Endothelial.ACKR1,1245.0,1.0,1245
Cancer.Her2.SC,Endothelial.CXCL12,1053.0,1.0,1053
Cancer.Her2.SC,Endothelial.Lymphatic.LYVE1,933.0,1.0,933
Cancer.Her2.SC,Endothelial.RGS5,1137.0,1.0,1137
Cancer.Her2.SC,Luminal.Progenitors,1396.0,1.0,1396
Cancer.Her2.SC,Macrophage,1412.0,1.0,1412
Cancer.Her2.SC,Mature.Luminal,1368.0,1.0,1368
Cancer.Her2.SC,Monocyte,1187.0,1.0,1187
Cancer.Her2.SC,Myoepithelial,1110.0,1.0,1110
Cancer.Her2.SC,NK.cells,986.0,1.0,986
Cancer.Her2.SC,NKT.cells,844.0,1.0,844
Cancer.Her2.SC,PVL.Differentiated,1280.0,1.0,1280
Cancer.Her2.SC,PVL.Immature,1192.0,1.0,1192
Cancer.Her2.SC,Plasmablasts,1356.0,1.0,1356
Cancer.Her2.SC,T.cells.CD4,1412.0,1.0,1412
Cancer.Her2.SC,T.cells.CD8,1080.0,1.0,1080
Cancer.LumA.SC,B.cells.Memory,571.0,1.0,571
Cancer.LumA.SC,B.cells.Naive,463.0,1.0,463
Cancer.LumA.SC,CAFs.MSC.iCAF.like,814.0,1.0,814
Cancer.LumA.SC,CAFs.myCAF.like,920.0,1.0,920
Cancer.LumA.SC,Cancer.Basal.SC,989.0,1.0,989
Cancer.LumA.SC,Cancer.Cycling,941.0,1.0,941
Cancer.LumA.SC,Cancer.Her2.SC,853.0,1.0,853
Cancer.LumA.SC,Cancer.LumA.SC,446.0,1.0,446
Cancer.LumA.SC,Cancer.LumB.SC,428.0,1.0,428
Cancer.LumA.SC,Cycling.Myeloid,573.0,1.0,573
Cancer.LumA.SC,Cycling.PVL,447.0,1.0,447
Cancer.LumA.SC,Cycling.T.cells,593.0,1.0,593
Cancer.LumA.SC,DCs,653.0,1.0,653
Cancer.LumA.SC,Endothelial.ACKR1,653.0,1.0,653
Cancer.LumA.SC,Endothelial.CXCL12,562.0,1.0,562
