Ligand,Receptor,Expr_Prod,Affinity_Pred,Affinity_Score,Rank_Baseline,Rank_Affinity,Rank_Change
LGALS9,P4HB,0.0051907683,0.3894216,0.0020213975,194.0,205.0,-11.0
THBS1,ITGAV,0.002270963,0.38426137,0.0008726434,262.0,273.0,-11.0
ITGAV,THBS1,0.0022778653,0.38804257,0.0008839087,261.0,272.0,-11.0
FGG,ITGAM,0.005608379,0.36753738,0.0020612888,190.0,201.0,-11.0
JAG2,NOTCH3,1.0353932e-05,0.4027524,4.170071e-06,1130.0,1141.0,-11.0
ACKR2,CCL7,2.0707865e-05,0.4022062,8.328831e-06,1002.0,1013.0,-11.0
COL4A3,ADGRG6,4.141573e-05,0.39135194,1.6208125e-05,872.0,883.0,-11.0
HSD17B1,ESR2,2.7610486e-05,0.3803487,1.0501612e-05,952.0,963.0,-11.0
ITGB2,FCER2,1.3805243e-05,0.40892038,5.645245e-06,1078.0,1089.0,-11.0
SULT1A1,PPARD,0.0021708745,0.39087218,0.00084853446,269.0,280.0,-11.0
GGT1,CYSLTR2,0.0002761049,0.3871768,0.00010690141,561.0,572.0,-11.0
RARA,ALDH1A2,6.902622e-05,0.3961253,2.734303e-05,773.5,785.0,-11.5
TGFB3,TGFBR3,0.00079725316,0.39259687,0.0003129991,391.5,403.0,-11.5
ACKR1,CXCL1,3.1061798e-05,0.3971988,1.23377085e-05,928.5,940.0,-11.5
CEL,RORC,1.7256554e-05,0.39689636,6.8490635e-06,1032.5,1044.0,-11.5
FGB,ITGB2,0.018830387,0.3667047,0.0069051916,99.5,111.0,-11.5
NRP1,VEGFB,0.0001967247,0.39256984,7.722818e-05,621.5,633.0,-11.5
WNT3,LRP5,6.9026214e-06,0.40310195,2.7824601e-06,1187.5,1199.0,-11.5
RAMP2,ADM2,0.0001863708,0.37420213,6.974035e-05,629.5,641.0,-11.5
TGFBR3,TGFB1,0.002177775,0.39059827,0.0008506351,267.0,279.0,-12.0
PTPRC,MRC1,1.3805243e-05,0.40829554,5.636619e-06,1078.0,1090.0,-12.0
TYROBP,APOE,0.0020500799,0.4026222,0.0008254077,272.0,284.0,-12.0
RSPO3,LGR6,1.0353932e-05,0.4009043,4.150936e-06,1130.0,1142.0,-12.0
ITGA2,COL15A1,4.141573e-05,0.39087072,1.6188196e-05,872.0,884.0,-12.0
SFRP2,WNT7A,2.0707865e-05,0.39968964,8.276719e-06,1002.0,1014.0,-12.0
CCL22,CCR4,0.00017601684,0.38116628,6.7091685e-05,638.0,650.0,-12.0
EDN2,EDNRB,0.00022778651,0.39072657,8.900224e-05,598.0,610.0,-12.0
CHRM3,SLC10A4,3.4513107e-06,0.3952004,1.3639594e-06,1247.0,1259.0,-12.0
SFRP1,WNT7A,0.00016566295,0.40147814,6.651005e-05,640.0,652.0,-12.0
LRP5,WNT7B,5.522097e-05,0.38448665,2.1231726e-05,808.5,821.0,-12.5
WNT6,LRP5,6.9026214e-06,0.40226683,2.7766957e-06,1187.5,1200.0,-12.5
ITGAV,OMD,8.283146e-05,0.3809839,3.155745e-05,749.5,762.0,-12.5
FZD1,WNT2,1.7256554e-05,0.39552647,6.825424e-06,1032.5,1045.0,-12.5
ADM2,RAMP3,6.902622e-05,0.3941547,2.7207008e-05,773.5,786.0,-12.5
PPARA,SULT1A1,0.00024849435,0.38479578,9.561958e-05,581.5,594.0,-12.5
IL33,IL1RAP,0.00020707866,0.402295,8.330671e-05,611.5,624.0,-12.5
ABCA1,APOA1,4.1415733e-05,0.4257031,1.7630806e-05,852.5,865.0,-12.5
SFRP1,WNT5A,8.283147e-05,0.3967697,3.286502e-05,742.5,755.0,-12.5
IL10RB,IFNL2,2.4159175e-05,0.38852993,9.386563e-06,975.5,988.0,-12.5
NOTCH4,DLL3,4.8318354e-05,0.39423716,1.904889e-05,829.5,842.0,-12.5
WNT9A,SFRP1,0.00014495506,0.40067738,5.8080215e-05,663.5,676.0,-12.5
FGFR2,FGF7,3.1061798e-05,0.3965351,1.2317093e-05,928.5,941.0,-12.5
